#FamilyID	7539_0<0>	50390_0<1>	77166_0<2>	7048_0<3>	217634_0<4>	<5>	<6>	<7>	41139_0<8>	115357_0<9>	116153_0<10>	<11>	166361_0<12>	1629725_0<13>	7070_0<14>	41895_0<15>	<16>	<17>	<18>	110193_0<19>	<20>	<21>	7054_0<22>	224129_0<23>	<24>	<25>	<26>	<27>	<28>	
11643at7041	0.541838	0.541838	0.56785	0.56785	0.554667	0.514612	0.0173853	0.514039	0.523343	0.523343	0.00281958	0.507414	0.571531	0.571531	8.25131e-12	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.126905	0.518738	0.528193	0.528359	0.501608	N/A
11688at7041	0.5785	0.0426833	0.535827	0.535827	0.554667	0.00735879	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.0129557	0.628098	0.50695	0.50695	0.560865	0.509662	0.550542	0.241027	0.579508	0.50617	0.650423	0.0894597	0.53643	0.0810593	0.554328	0.503208	N/A
11691at7041	0.0213368	0.541838	0.535827	0.535827	0.0280356	0.514612	0.534207	0.514039	0.523343	0.0118044	0.572473	0.507414	0.571531	0.105916	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11712at7041	0.541838	0.541838	0.535827	0.0182221	8.87037e-05	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.00401752	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11767at7041	0.541838	0.541838	2.42668e-05	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.0118044	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.0446373	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11801at7041	0.639031	0.639031	0.596518	0.145792	0.211191	0.022069	0.592603	0.540379	0.523343	0.523343	0.674946	0.521753	0.628098	0.0129557	0.513756	0.513756	0.166515	0.00970842	0.550542	0.660117	0.640586	0.512226	0.650423	0.650423	0.53643	0.554024	0.554328	0.503208	N/A
11805at7041	0.167439	0.167439	0.645304	0.00030997	1.33145e-09	0.00112128	0.640016	0.564577	0.545064	0.545064	0.000831009	0.535465	5.89192e-06	1.62722e-06	0.000247783	0.0174273	0.00168236	0.545607	0.646614	0.817151	0.7544	0.529734	0.101626	0.335068	0.611316	0.00855621	0.0229827	0.511093	N/A
11821at7041	0.0213368	0.541838	0.000664975	0.535827	0.554667	0.514612	0.534207	0.514039	0.0348749	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11860at7041	0.639031	0.639031	0.535827	0.535827	0.639181	0.022069	0.0974579	0.0141363	0.523343	0.523343	0.19479	0.514663	0.628098	0.192535	0.0069742	0.513756	0.166515	0.519045	0.550542	0.660117	0.640586	0.512226	0.650423	0.226314	0.53643	0.554024	0.554328	0.503208	N/A
11889at7041	0.0213368	0.541838	0.535827	0.535827	0.0280356	0.514612	0.534207	0.514039	0.000278842	0.523343	0.572473	0.507414	0.571531	0.03694	0.513756	0.000120929	0.560865	0.509662	0.526299	0.592455	0.0411886	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
11956at7041	0.117826	0.0426833	0.56785	0.0364494	0.600539	0.528587	0.564945	0.52749	0.545064	0.0236097	0.629591	0.514663	0.571531	0.571531	0.50695	0.50695	0.610852	0.519045	0.526299	0.592455	0.211415	0.512226	0.650423	0.00125793	0.054652	0.554024	0.554328	0.503208	N/A
12057at7041	0.0213368	0.541838	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.0374406	0.507414	0.00274428	0.571531	2.43208e-05	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
1205at7041	0.541838	0.541838	0.535827	0.535827	0.0280356	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.571531	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	4.29204e-06	0.579508	0.50617	0.00401752	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12086at7041	0.5785	0.0426833	0.56785	0.56785	0.600539	0.528587	0.564945	0.52749	0.0676092	0.545064	0.000756152	0.514663	0.192535	0.0739669	0.0139451	0.526947	0.610852	0.519045	0.550542	0.241027	0.016027	0.512226	0.0187502	0.650423	0.53643	0.554024	0.554328	0.503208	N/A
12094at7041	0.541838	0.541838	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	6.20987e-09	0.571531	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.00401752	0.126905	0.518738	0.528193	0.528359	0.501608	N/A
12102at7041	0.167439	0.00998203	0.596518	0.00231517	0.639181	0.541956	0.592603	0.540379	0.545064	0.545064	0.674946	0.521753	0.628098	0.628098	0.513756	0.513756	0.610852	0.00970842	0.550542	0.0965094	0.640586	0.512226	0.650423	0.650423	0.53643	0.554024	0.554328	0.503208	N/A
12127at7041	0.541838	0.541838	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.523343	0.572473	0.507414	0.105916	0.571531	0.50695	0.00348709	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.000361592	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
12128at7041	0.00323437	2.17738e-05	0.535827	0.535827	0.639181	0.541956	0.00209625	0.540379	0.0353838	0.565289	0.0107372	0.521753	0.110116	0.0104324	0.52042	0.030667	0.65211	0.528158	0.572907	0.0456119	0.687947	0.518171	0.132763	0.00101082	0.55314	0.577713	0.578131	0.5048	N/A
12246at7041	0.541838	0.541838	0.535827	0.535827	0.554667	0.514612	0.534207	0.514039	0.523343	0.000278842	0.000212338	0.507414	0.571531	0.105916	0.50695	0.50695	0.560865	0.509662	0.526299	0.592455	0.579508	0.50617	0.585953	0.585953	0.518738	0.528193	0.528359	0.501608	N/A
